amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"594,642",British Gut,,,,,"There will be a delay in sending out British Gut orders until
    8/15.  Apologies for the inconvenience. This is a unique open collaboration between the TwinsUK team at King's College London and The
      American Gut Project (AGP) to try to understand the bacterial
    diversity of the British Gut . Many people don't realize that the bacteria that live inside us play
  an incredibly important role in our health. There are so many of them,
  that they make up 90 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"". We
  evolved together with our microbiome over millions of years. Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe and, with your help,
  we will be able to discover more about the crucial relationship
  between our health and our microbiome, and on a personal level, you
  will be able to discover the bacterial profile of your own gut. With
  your help, we hope to be able to answer questions such as 'How much
  does our choice of lifestyle and diet influence our microbiome, and
  can we alter our microbiome to make us healthier?' We are discovering that each person is very different and has their
  own unique microbiome. More research is needed to work out what
  constitutes a 'healthy' microbiome, and which combinations of bacteria
  should try and be avoided. In order to do this ambitious and
  much-needed project, we urgently need a large scale collection of
  human samples. Over 7 thousand people have already signed up in
  America already- but we need many more from UK Europe. The project mainly focuses on the gut as this is our main 'microbial
  home', however, the study will also look at oral, skin and (for women)
  vaginal communities as these areas of the body have problems such as
  tooth decay, gum disease, acne and infertility and may be influenced
  by the microbiome. What does it entail? First you need to sign up (see Perks on the right) and select your
  level of contribution to the project. Within three weeks, you will
  receive a kit in the mail together with detailed instructions on how
  to proceed. Shipping within the UK first class should be around £2.90,
  but we recommend taking the sample to the post office to get the
  proper postage. Getting the postage right on the first try is
  important since samples that spend a long time in transit will likely
  not produce the highest quality results. After you have returned your sample to us, the samples will be
  processed and analysed by the Knight Lab at University of California,
  San Diego and you will be provided with a list of the major groups of
  bacteria in your sample and the proportions in which they are found.
  We estimate that this will take around 3 months from the time your
  sample is scanned into our lab (but possibly longer) and once we
  provide you with your results, you will be able to see how your
  bacterial community compares to others in the study. From the diet and
  lifestyle information that you provide, we will also be able to show
  you how your results compare to other people who are within the same
  diet and lifestyle group as you (but having a very different result to
  them does not necessarily mean anything bad, it can just be that you
  have experienced slight lifestyle differences that mean that your
  bacterial profile is different). Please note that this is a scientific study, not a clinical or
      commercial project, and we will not be able to provide you with
      any clinical information/advice related to your microbiome profile. How will my sample be used? The British Gut project, like the American model, gives participants
  the opportunity to compare their personal microbiome profiles to
  family members, and other people both in the UK and abroad. Our
  project is based on the principles of 'access to all'. The data
  collected from the sample you provide will be shared anonymously both
  with participants and scientists, allowing many different scientific
  hypotheses and questions to be answered using your valuable sample. We look forward to working together on this new and exciting project.
  If you have any questions, email us at info@britishgut.org Tim Spector",https://fundrazr.com/britishgut
"31,350",Rebeccas Breast Cancer Healing Journey-Please Help,U.S. Dollar,"Aug 25, 2018",of $53k goal,203,"On April 9th of 2018 my wife, best friend, and mother of our 3
    boys, Rebecca Nowak was diagnosed with Invasive Ductal Carcinoma ER+
    and HER2+ an aggressive form of Breast Cancer .  When we
  received the news our worlds were flipped upside down to say the
  least.  I rushed home from work to put my arms around my wife and
  process this new reality, and within an hour received a call from the
  oncologist to come in and begin a plan of action on how we would treat
  the Cancer.  Those of you that know Rebecca know that we truly believe
  in Alternative and Natural ways of Healing, so we were caught in a
  circumstance that we needed more time to process.  We began praying
  and asking God for guidance on this Journey, and to align us with the
  right people/places, and the wisdom to make whatever decision He
  wanted us to make to get Rebecca well.  After much prayer, Receiving
  ""Signs"" and doing tons of research regarding Natural
  Treatments for Cancer we decided to send my wife to an Alternative
  Cancer Center in Tijuana Mexico. (To Read The Full Story of What Led
  us to Mexico Scroll to the bottom section of this page) Since the Diagnosis, and the First trip to Mexico, we discovered that
  the Cancer has Tripled in size, Metastasized to her Lymph nodes and
  possibly her liver.  We are at a point where we need to combat this
  cancer full force but are running out of funds to do so.  Meanwhile,
  The Cancer continues to takes it's toll on Rebecca's body.  This
  morning at 4am I woke up to find my wife sobbing by my side and
  telling me that she's scared and that her whole body hurts, especially
  her liver and back.  The Cancer is growing at a pace greater than the
  treatment that we have been able to give her up to now.  We need to
  get Rebecca to Mexico for an extended stay of 3-4 weeks where she will
  be monitored constantly and given the most aggressive treatments
  possible to counteract what the Cancer is currently doing.  Some of
  the treatments will include Vitamin C, Ozone, Letrile and IUV
  therapies along with a Natural Cancer Killing Tonic, Natural Form of
  ""Chemo"" (Kills the Cancer Cells without Killing the Good
  Cells), and an Estrogen Receptor Blocker because the Cancer is
  Estrogen Fed.   The cost of Rebecca's Treatment, Testing, Scans, for
  3-4 weeks  will cost $53,000. To all of our family and friends that have taken time to read
    this, Thank you.  Please share with your family, church family and
    friends as well.  We will need your help to reach this goal. -Justin Nowak The Full Story on What led us to Mexico In November 2017 Rebecca had a Thermogram done to check for Breast
  Cancer due to a suspicious lump in her breast.  She was given a clean
  bill of health and told by the Thermographer that it was nothing to be
  concerned with and not Cancer.  We were relieved at that point and
  went on with our lives but the lump continued to increase in size. 
  Five Months Later on April 3rd we scheduled a Biopsy which confirmed
  that it was in fact Grade 3 Invasive Ductal Carcinoma ER+ and HER2+. 
  The news was devastating and we began to pray for signs and direction
  from God on what to do next.  After weeks of doing it on our own with
  a strict diet change, supplements, and cleansing the lymphatic system,
  with no real improvement, we realized that we needed to get my wife in
  the care of specialists.   Rebecca decided to call the Thermographer
  to let her know that she misdiagnosed us, she apologized and explained
  that most scan and tests are never 100% accurate and they always
  recommend a second opinion if we have concerns.  She also told Rebecca
  that she understood what she was going through because 30 years ago
  she was diagnosed with breast cancer and she beat it naturally at an
  Alternative Treatment Center in Tijuana, Mexico.  Then she proceeded
  to tell Rebecca that she had sent over 500 patients to this clinic in
  the past 15 years and they have all been healed naturally of Cancer. The following morning I was looking through unpacked boxes (We had
  just finished a move to Idaho from California when she was diagnosed)
  trying to find a power cord for the printer to print up some
  documents, with no luck.  On the 20th or so box that I cut open, I
  found a white bag with a bright yellow business card in it.  The color
  of the card caught my attention so I picked it up.  The business card
  was for the same clinic in Mexico and on the back of the card, it read
  Ogden, IA. I was in awe, so I asked my wife where
  she got this card from?  She was blown away to and had forgotten all
  about the card.  She proceeded to tell me that an older gentleman that
  used to come into her work in Iowa gave it to her and said, ""If you, or anyone that you know ever gets cancer, you
    should go to this place, they saved my life and they can save
  yours"" .  Rebecca had this card for 12 years.  It made it
  from Iowa, to 4 different homes in California and now to Idaho to be
  found within hours of hearing about this clinic for the first time
  ever from the Thermographer. Four days later, I was at a swap meet in Garden City, ID.  Within a
  few minutes of being there, I see a guy wearing a Classic Ford Bronco
  Shirt which catches my attention because I sell Classic Ford Bronco
  parts for a living and I own a Classic Ford Bronco, so I say,
  ""Hey man, I like your shirt"" After talking Trucks with him
  for a few minutes, we find out that I have sold him parts in the past
  and he knew who I was. I explained the situation to him about my wife
  and he proceeds to tell me about his mother passed from Breast
  Cancer.  When I told him that we were sending my wife to an
  Alternative Treatment Center in Mexico, his face lit up and he
  proceeds to tell me that his friends wife was battling Cancer for
  years and had been given 3 weeks to live by her
  Dr’s. They wanted to give her one more round of
  Chemo in hopes that it would help, but she refused.  With nothing else
  to lose, she decided to go to a treatment center in Mexico which ended
  up being the same Clinic that my wife and I are going to, and is alive
  and well today",https://fundrazr.com/e1Nbl6
"2,640",Help Batchy beat this battle,Australian Dollar,"Nov 6, 2018",of $8k goal,23,"I am Dani. Batchy has been a part of my
  life for over 30 years. Such a true friend who is always there. He's a
  super hard worker and anyone that knows him loves him. I'm grateful to
  have him as one of my best mates. He's always up beat and the life of
  the party but this week has really rocked him. There were no real warning signs except
  tummy pains a few weeks ago. His doctor first diagnosed anemia with a
  blood count of only 80 ( should be 140-160) Further testing with a colonoscopy found
  the malignant tumour in his bowel. This news couldn't have come at a worse
  time. He lost his job at the council 2 days before. With zero sick pay
  and holiday pay, every cost will be his responsibility and being on
  his own makes it even harder. He's too lethargic, dizzy and out of
  breath to work. His doctors have made it clear he needs to rest until
  they can operate. We will not know the full costs involved at
  this point or the ongoing expenses involved while Batchy remains out
  of work and in recovery. It depends on how the surgery goes and what
  other treatments may follow... but of course will keep you in the loop. There are MANY beautiful friends of Batchys
  out there who are asking what they can do to help!? ❤️Well this is it... No matter how big or small, every little
  bit counts. He's a tough nut our Batchy, and he's
  staying positive with all the love and strength from his family and friends. We are all here to help him and know he
  will win this battle. Thank you so for all of your messages and
  support. It means so much to him. We will keep you posted on progress as it happens. Love and light Cheers Dani",https://fundrazr.com/71NvS7
450,Help Michael see color.,U.S. Dollar,,of $450 goal,5,"WHO AM I? My name is Michael Kirk and I'm a
      pencil artist living in Pickens County Alabama.  Many people know
      of my work, but most of them don't know that I draw in black and
      white because I have trouble seeing color.  I have a condition
      known as anomalous trichormacy, which is a fancy way of saying I
      am not totally colorblind, seeing the world in black and white,
      but, rather, I'm color deficient.  My specific condition is known
      as Deuteranomaly or ""weak green"" vision. People like me refer to our type of
      colorblindness as ""color confusion"" because that most
      accurately describes what it is.  Even though I can't see green
      like I should, it affects my other colors as you can see in the
      simulated image below: Seeing the world this way creates some
    frustration from time to time.  Purples can look blue.  Greens can
    look brown.  Even a red stop sign can blend in with the green trees
    behind it and trying to tell which traffic light is illuminated can
    be an outright guess in certain lighting conditions. One of my first artistic experiments was
    with colorizing old black and white photos.  I knew I could be a
    little confused by colors, but at the time I had no idea I had a
    type of color deficiency and bravely colored a few photos, trying to
    be as accurate as I could.  When I showed them off, people told me I
    had chosen a pink that was much too bright for someone's lips or
    that I had chosen a bright green instead of yellow.  I haven't
    recolored any photos since then because I was embarrassed to make so
    many mistakes. I later learned I was truly
    colorblind while browsing t-shirts on the Internet one day.  I found
    a picture of a shirt with a bunch of differently colored green
    circles on it, but I didn't get why it was supposed to be funny. 
    Upon reading the comments, I learned that it was styled after
    an Ishihara test and that normal people could read the caption: 
     ""F*** the Color Blind.""  I was unable to read it.  :( After that harsh revelation, I decided to
    test myself and found some real Ishihara test patterns to confirm my
    fears.  Yes.  I was color blind.  In a way I was disappointed, but
    at the same time relieved to finally have an explanation why I got
    so confused by color.  I wasn't dumb.  It wasn't because I didn't
    pay enough attention.  It wasn't my nearsightedness or glasses.  I
    just couldn't see color like everyone else.  It was vindication.  It
    was closure.  And I accepted it (I had no choice). Back when I first learned I was
      color blind/color deficient, there was not much anyone could do
      about it, but then I saw a video on FaceBook of a color blind man
      seeing the color of his children's eyes for the first time and I
      was fascinated.  His family had given him a pair of, what appeared
      to be sunglasses, as a gift and he could see new colors with
      them.  What he saw moved him to tears.  I wanted to see color like
      that!  Itching to know more, I researched the video and that was
      when I first learned about Enchroma glasses. WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions WHY I NEED YOUR HELP. Because Enchroma glasses are new to
    the market and because of my nearsightedness (I have to order a
    custom prescription), I cannot afford the cost to get my own pair
    easily.  A basic pair costs $350 or more (depending on frame
    type/model) and a prescription fee is $150. If enough people help me get the
    frames I want, I can cover the prescription fee.  I appreciate you
    taking the time to read all the way down here to the bottom.  I hope
    to reach my goal before Autumn or Christmas so I can see all the
    different colors of the trees and the decorations of the holiday season. Thank you for your time.  :)",https://fundrazr.com/d1Nhaf
765,Top Surgery Support Fund for Nate,Canadian Dollar,"Sep 16, 2018",of $3k goal,15,"Hi! My name is Katie and I am creating this fundraiser to support our
  friend and community member, Nate. As some of you may know, our dear friend Nate is having top surgery
  on September 13, 2018. Top surgery is a gender-affirming procedure
  that many trans folks like Nate undergo in order to live life in a
  more comfortable, accessible way.  Nate has been on waiting lists for
  this surgery for over 5 years and he has been binding for 12 years for
  anywhere from 12 - 16 hours per day. This daily binding has taken a
  toll on his body and this surgery will greatly improve Nate's quality
  of life and the ease with which he moves through the world. As a
  community, we have an opportunity to come together to support Nate
  during this exciting and challenging time by helping him to pay for
  surgery and supporting him during his recovery time. HOW WILL THE MONEY BE USED? 1) While OHIP covers much of the cost of this surgery, there is a
  cost of $2,360 that is not covered by OHIP. We hope to raise at least
  this much money so that Nate can focus on recovery and does not have
  the burden of this surgery cost weighing on him. 2) It would be absolutely wonderful if we could raise some money to
  support Nate's costs of living and healing process while he is off
  work after his surgery. As most of Nate's friends and community know,
  he works as a baker (and is darn amazing at it!). While baking is one
  of Nate's great passions, it is also a very physically demanding job
  and will require Nate to be off of work for 8 - 12 weeks-- much longer
  than if he had a less physical job. Any money raised over and above
  the initial goal of $2,360 will go directly to supporting Nate's
  recovery. No amount is too little to donate, even if it is only a few dollars! WHAT IF YOU CAN'T AFFORD TO DONATE? It's totally okay if you aren't able to donate right now! Here are
  some other ways you can help Nate: 1) SHARE THIS FUNDRAISER! Let's get the word out there by sharing
  this fundraiser on social media - give your friends and community the
  opportunity to help out by sharing this campaign. 2) Consider creative ways that you could contribute. For example,
  maybe you don't have the cash, but maybe you work somewhere that would
  be cool with you putting out a donation jar! 3) Offer tangible support. You can reach out to Nate's partner Tanya
  at smithsalter -at- gmail -dot- com to arrange tangible support. For
  example: running errands, dropping off food, dog walking, garden help,
  etc. while Nate recovers. 3) Support The Feral Knot on Etsy and beyond! Nate's partner, Tanya, has a
  (super amazing) small business creating macrame art, rustic woodwork,
  healing plants, and facilitating macrame workshops. You can support
  The Feral Knot by liking the page on Facebook / Instagram , sharing, and as the holidays approach,
  consider supporting Nate and Tanya by supporting The Feral Knot. 4) Reach out to Nate for social get-togethers beginning 1- 2 weeks
  after surgery! Nate will be recovering for 8 - 12 weeks, and after the
  initial post-surgery period, he will appreciate friends reaching out
  for low-key coffee, picnics, and hang outs. Anyone who knows and has shared space with Nate knows that he is an
  incredible, generous, and caring human being. Nate deserves all of the
  support in the world, and I am confident that we can help to ease some
  of the financial burden that comes with surgery and post-surgery healing. WANT TO LEARN MORE? Feeling confused about top surgery, recovery times, and all of this
  other stuff? Here are some great resources about top surgery and what
  is needed for healing: https://www.healthline.com/health/transgender/top-surgery#recovery",https://fundrazr.com/natestopsurgery
"1,189",Help Nadia pay for gender affirming surgeries,Euro,"Sep 26, 2018",of €4k goal,29,"Hi there. My name is Nadia . I'm a neurodiverse
  transgender woman of color living The Netherlands. I was assigned male at birth, but for most of my life, especially
  since I started puberty I've been suffering from crippling dysphoria regarding my gender. Along with my ADHD , this led to me developing chronic
    depression, anxiety and agoraphobia in my late teens and
  young adulthood. Eventually I couldn't take it any more and realized
  that the only way I could ever be truly happy is to transition and start living as my most authentic self. I’ve lived in this body for 31 years, of which only the last 3 I've
  been on Hormone Replacement Therapy (HRT) . This,
  along with things like permanent laser facial hair
  removal has gone a long way towards helping me look and feel
  like the woman I know I am. But there's only so much that hormones can
  do. It can't fix the parts of my body that cause me the most
  dysphoria. Only surgery can change those. When I first started transition, I didnt want to rush into any
  surgeries. After all, they're scary, permanent, invasive and very
  expensive. I was hoping HRT alone would be enough. But over the past 3
  years the pain I feel regarding these specific aspects of my body has
  been constant and persistent regardless of how much
  self love I try to practice. It’s not something that’s just
    going to go away on its own. Deciding on getting these procedures isn't a decision I made lightly.
  It came after years of deliberation and trying everything else I could
  think of to make this feeling go away. Over the past 9 months especially, my mental health has gone down the
  drain. A lot of the time I'm too scared to go outside by myself,
  because how transphobic society can be to someone like me. My loved
  ones, family members, and partners have noticed how much worse I've
  gotten. I've been feeling hopeless, gross and most of all stuck. Like
  I'm unable to move forward in any way. Just like my decision to come out and transition, the decision to get
  rid of my facial hair using laser hair removal, the decision to go on
  HRT, having these surgeries really is the best
  option. It’s the next step I need to take in my transition. Please consider donating if you’re able to. It would mean
      the world to me and you’d be helping me out in a big way. If
      you’re unable to donate please share the link as much as possible. Thank you. <3",https://fundrazr.com/helpnadia
"4,850",Steve Roberts: Cancer Treatment Appeal,Pound Sterling,"Aug 21, 2018",of £7.5k goal,83,"My dear friend Steve Roberts has just been diagnosed with cancer in
  his prostate. I'm fundraising to help him and his wife Susanna afford
  the inpatient treatment he's been offered at the end of July at the
  Camphill Wellbeing Trust Medical Centre in Aberdeen and its follow-up
  maintenance programme. This intensive protocol is widely used in
  Europe and will double his chances of a good recovery by boosting his
  immune system as well as targeting the cancer cells. Donations of any
  size are vitally needed and will be much appreciated. Thank you! In most men, prostate cancer is slow growing and merely kept under
  observation but Steve's has an aggressive element that needs treatment
  to stop it spreading. The Gleason Score grades prostate cancers on a
  scale of 2-10 and his MRI and recent biopsy results reveal a Grade 7
  tumour. It is currently localised and Stage 2. As his beloved wife
  Susanna lost both her father and her mother to cancer they're
  determined to maximise Steve's chances by using conventional and complementary medicine this time. The intensive Mistletoe protocol at CWT Aberdeen is a holistic,
  plant-based, whole-person approach which, in our opinion and according
  to research and scientific evidence, strengthens the immune system and
  the life force while directly tackling the tumour. We believe it will
  give him the best chance of surviving this disease and retaining a
  good quality of life. When I met with Steve and Susanna last Summer at Emerson College,
  Forest Row (below) we were pleased to find each other looking so well. Steve had only just
  retired the previous December. His five-decade long working life was
  split equally between the written word (as a journalist, book &
  magazine publisher, editor and book seller) and curative education
  (first as a Carer and House Father in residential homes at Hohepa, New
  Zealand and Bristol, then as a teacher, Letter Press  tutor,
  Administrator and Trustee in special needs education). He and I met
  when we worked together in staff development for Ruskin Mill Trust at
  their Freeman College site in Sheffield, but he seems twice as busy in retirement. Steve is now on the verge of completing his first book - about
  Creativity and the Writer's Muse - with a second one planned (on
  William Golding and the double) while simultaneously organising an
  international conference on Nature Spirits, Elemental Beings and
    Human Cooperation scheduled for May 2019, and giving public
  talks and workshops on a variety of subjects. You will probably remember this fizzy
    combination of positivity, energy, enthusiasm and wide-ranging
    curiosity from your own dealings with him! Please help me to help this husband, brother, stepfather,
    larger-than-life Kiwi and inspiring friend to very many people
    around the world get on with the job of living his life to the full
    while trying to improve it for others. Every single penny donated will be spent
  on Steve's inpatient treatment in July, his ongoing home injection
  maintenance programme and his recovery. Your positive thoughts, prayers and messages of support are
      equally valuable. Steve's email is steveroberts1151@gmail.com . He is currently feeling fine and is his
  usual cheerful self. Thank you very much. With every good wish, Alan Miggin",https://fundrazr.com/SteveRobertsAppeal
"5,430",Hannah's Heroes,U.S. Dollar,,of $177k goal,116,"Our daughter Hannah was born with 2 very rare diseases 1 called C.A.H
  and the other called Spinal Muscular Atrophy, which works to rob her
  of her ability to move, breath and, eventually, live. There is a drug
  that can stop this disease. It has just approved it. But accessing it
  costs $177,000, and the process of our drug plan won’t be ready for
  another year. That’s a year that our little girl can’t afford to wait.
  It would be a year of vulnerability and loss. But with your
  help, we believe we can turn it into a year of miracles! Let me
  tell you the rest of our story. Spinal Muscular Atrophy (SMA) has
  become our daily life. It’s the genetic condition most likely to kill
  children under six years of age, and our daughter has it. It’s a
  progressive lower motor neuron disease, that is loosely paralleled to
  adult ALS. But there are significant differences: most notably, SMA
  never affects cognition, so our daughter is as bright and keen as any
  other child her age. At 14 months, Hannah took her first 3 steps. She has never walked
  since then. After those first steps, she lost any strength to walk,
  then strength to pull up to stand, and then the strength to crawl. She
  can barely get from a lying position to a sitting position. Hannah is
  our mature little scholar! But she is completely dependant on us for
  dressing, toileting, and getting her in her wheelchair.But those
  things aren’t the worst. She is at an extreme risk of respiratory
  failure. Every single simple cold/viral infection is a threat. At
  least three times a year these infections strike hard enough to send
  her to the hospital. As a parent, I weep and get nauseous just
  thinking about this. I don’t want to think about what the next year
  could hold for her. But the amazing thing is that it doesn’t have
  to be that kind of year for our little girl. For over two decades
  the gene responsible for SMA has been known but there has not been a
  single available treatment. This past summer the first drug in history
  to specifically treat SMA was approved ! It is called Spinraza
  (Nusinersen). It can completely halt SMA in its path and even lead to
  some GAIN in muscle strength! This drug truly is a miracle, and
  we need our daughter on it as soon as possible. Though it’s
  approved Spinraza won’t be available on our drug plans for another
  year. It costs $177,000 to provide a year’s supply for Hannah 3 vials
  . The manufacturer, Biogen, will sell it directly to families willing
  to pay for it. This treatment WILL stop Hannah's respiratory deterioration, keep her
  hands strong, and prevent future problems in her spine that would
  require surgery.And we don’t even know what gains it might provide.
  Instead of a year of atrophy it can become a year of miracles! But we
  need your help. We do everything we can for our little girl but we
  can’t do this alone. We need to raise $177,000. Please join us
  on our journey and help to make this a year of miracles for Hannah",https://fundrazr.com/HannahsHeroes
"1,715,539",American Gut,,,,,"The Human Microbiome Project and other microbiome projects worldwide
  have laid an important foundation for understanding the trillions of
  microbes that inhabit our bodies and their impact on health and
  disease. However, opportunities for the public to get involved in such
  research have been limited. Now, American Gut gives you an opportunity
  to join this research project and learn what’s living on and inside you! American Gut is a project built on open-source, open-access
  principles. The data we collect is de-identified and then deposited
  into open repositories for the benefit of other researchers and scientists. Join the project! Joining is simple! Select the kit you would like from the list of
  options on the right-hand side by clicking “Claim this perk”. Your kit
  will be sent via mail within 2 weeks after payment.  Once you have
  followed the instructions outlined in the provided manual, mailed your
  sample back, it will take about 3 months to receive results from the
  time your sample is scanned into our lab. International participants are also welcome to join. However, please
  note that an additional $25 shipping fee does apply (which
  you must include when you contribute and claim a perk). We ask that
  samples be sent back to our lab within 48 hours. The cost of expedited
  shipping to our lab in the US from some locations can be expensive, so
  it is also recommended that you look into the cost of return shipping. If you are currently residing in Europe, visit our sister site the British Gut to join this
  research project. A few important points to remember before joining this
    research project: 1. Note your de-identified information will be part of a research
  study and will be made available in a publicly available research
  database. That is, any personal information that might easily identify
  who you are will be removed before being placed in the public database. 2. If you decide that you no longer wish to continue in this study,
  you will be requested to contact the American Gut Project help line
    ( info@americangut.org ) to inform us of your intent
  to withdraw. You may request a refund within 50 days of your original
  payment if you have not yet used your kit. Please note that the
  Fundrazr transaction fee will be deducted from your refund. 3. The consent forms are maintained on the participant website;
  details are included in your kit. To sign the consent form, you must
  agree to use an electronic format for your signature in accordance
  with the United States' eSIGN Act and California's UETA Act. You have
  the right to obtain the electronic record in a non-electronic form. 4. The results you receive from submitting a sample are not meant to
  act as medical or health diagnoses. We will not be able to provide any
  clinical or medical advice/information based on your results. You may find a full overview of the project at http://humanfoodproject.com/americangut/ , or visit
  us at www.americangut.org .",https://fundrazr.com/americangut
"1,620",Luke Has Something to Get Off Their Chest,U.S. Dollar,,of $9.1k goal,15,"Let's be real, asking for money is no fun, even though I come at it
  with a lot of privilege. I wish I didn't have to disclose information
  about my gender dysphoria and healthcare decisions to a public
  audience. I wish I could just tell you all the other awesome places
  ways you could use your money, and most of all I wish that we didn't
  live in a culture where healthcare feels so unattainable for so many
  people. But the truth is, this is really important to me, and I think
  will make a big difference in my life. Top surgery is something that
  has felt out of the question for me for the past 14 years due to
  various health issues. I now feel like it is a real possibility, and I
  feel more clear than ever that it's what I want. The biggest roadblock
  still in my way is the money. So I'm here asking you for support,
  because raising money is actually way more doable than solving a lot
  of other problems in the world! And I'm so grateful and honored to
  have a community that can be part of this process with me. Here's how the estimated costs break down for the procedure and the 2
  to 6 weeks of recovery required: $8250 - the surgery itself and hospital fees $800 - the
  equivalent of 6 weeks' missed rental income to pay my bills, since I
  won't be able to rent out my guest room during my recovery (in
  addition to taking the time off of my job, which I may or may not have
  enough PTO for) Experiencing life in a body that feels like mine: priceless! Another way you can help right now: share my photography page,
  lukehirst.com. I'm using that as a way to raise money for surgery, too. Thank you in advance!!",https://fundrazr.com/lukehirst
